"whether he/she donated blood in March 2007",Frequency (times),Monetary (c.c. blood),Time (months),Recency (months)
1,50,12500,98,2
1,13,3250,28,0
1,16,4000,35,1
1,20,5000,45,2
0,24,6000,77,1
0,4,1000,4,4
1,7,1750,14,2
0,12,3000,35,1
1,9,2250,22,2
1,46,11500,98,5
0,23,5750,58,4
0,3,750,4,0
1,10,2500,28,2
0,13,3250,47,1
1,6,1500,15,2
1,5,1250,11,2
1,14,3500,48,2
1,15,3750,49,2
1,6,1500,15,2
1,3,750,4,2
1,3,750,4,2
0,11,2750,28,4
1,6,1500,16,2
1,6,1500,16,2
0,9,2250,16,9
0,14,3500,40,4
0,6,1500,14,4
1,12,3000,34,4
1,5,1250,11,4
0,8,2000,21,4
0,14,3500,58,1
1,10,2500,28,4
1,10,2500,28,4
1,9,2250,26,4
0,16,4000,64,2
1,8,2000,28,2
1,12,3000,47,2
1,6,1500,16,4
1,14,3500,57,2
1,7,1750,22,4
1,13,3250,53,2
0,5,1250,16,2
1,5,1250,16,2
0,5,1250,16,2
1,20,5000,69,4
1,9,2250,28,4
0,9,2250,36,2
0,2,500,2,2
0,2,500,2,2
0,2,500,2,2
0,11,2750,46,2
1,11,2750,46,2
0,6,1500,22,2
0,12,3000,52,2
1,5,1250,14,4
1,19,4750,69,4
1,8,2000,26,4
1,7,1750,28,2
0,16,4000,81,2
0,6,1500,21,3
0,7,1750,29,2
1,8,2000,35,2
0,10,2500,49,2
1,5,1250,16,4
1,3,750,9,2
0,16,4000,74,3
1,4,1000,14,2
0,2,500,4,0
0,7,1750,25,4
0,9,2250,51,1
0,4,1000,16,2
0,4,1000,16,2
1,17,4250,71,4
0,2,500,4,2
1,2,500,4,2
1,2,500,4,2
1,4,1000,16,2
0,2,500,4,2
0,2,500,4,2
0,2,500,4,2
1,6,1500,23,4
0,4,1000,16,2
0,4,1000,16,2
0,4,1000,16,2
1,6,1500,28,2
0,6,1500,28,2
0,2,500,4,4
0,2,500,4,4
0,2,500,4,4
1,7,1750,35,2
1,2,500,4,4
0,2,500,4,4
0,2,500,4,4
0,2,500,4,4
0,11,2750,23,12
0,7,1750,28,4
0,17,4250,86,3
1,9,2250,38,4
1,4,1000,14,4
1,7,1750,26,5
1,8,2000,34,4
1,13,3250,76,2
0,9,2250,40,4
0,5,1250,26,2
0,5,1250,26,2
0,17,4250,70,6
0,8,2000,59,0
0,5,1250,26,3
0,3,750,14,2
0,10,2500,64,2
1,5,1250,23,4
0,9,2250,46,4
0,5,1250,23,4
1,8,2000,40,4
0,12,3000,82,2
0,24,6000,64,11
1,7,1750,46,2
0,11,2750,61,4
0,7,1750,57,1
1,11,2750,79,2
1,3,750,16,2
1,5,1250,26,4
1,6,1500,41,2
1,5,1250,33,2
0,4,1000,26,2
0,5,1250,34,2
1,8,2000,46,4
0,4,1000,26,2
1,8,2000,48,4
1,2,500,10,2
0,5,1250,28,4
0,12,3000,95,2
0,2,500,10,2
0,6,1500,35,4
0,11,2750,88,2
0,3,750,19,2
0,5,1250,37,2
0,12,3000,98,2
0,5,1250,19,9
0,2,500,11,2
0,9,2250,74,2
0,14,3500,86,5
0,3,750,16,4
0,3,750,16,4
1,2,500,9,4
1,3,750,16,4
0,3,750,14,6
0,2,500,11,2
1,2,500,11,2
0,2,500,11,2
1,7,1750,58,2
0,6,1500,39,4
0,11,2750,78,4
1,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
1,1,250,2,2
1,1,250,2,2
1,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,10,2500,35,11
1,4,1000,16,11
1,5,1250,33,4
1,6,1500,41,4
0,3,750,22,2
1,4,1000,26,4
0,4,1000,16,10
0,4,1000,35,2
0,12,3000,88,4
0,8,2000,26,13
0,9,2250,33,11
0,5,1250,34,4
0,4,1000,26,4
0,15,3750,77,8
1,5,1250,35,4
0,7,1750,52,4
0,7,1750,52,4
0,4,1000,35,2
0,11,2750,42,11
0,2,500,14,2
1,5,1250,47,2
1,8,2000,38,9
0,6,1500,47,4
0,7,1750,29,11
0,9,2250,45,9
0,6,1500,52,4
0,7,1750,58,4
1,2,500,11,6
0,7,1750,58,4
0,9,2250,38,11
0,6,1500,26,11
0,2,500,16,2
0,7,1750,76,2
0,6,1500,27,11
0,3,750,14,11
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
1,1,250,4,4
0,1,250,4,4
1,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,3,750,24,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,8,2000,39,10
0,7,1750,26,14
0,10,2500,63,8
0,3,750,15,11
0,2,500,14,4
0,4,1000,43,2
0,9,2250,58,8
1,8,2000,52,8
0,22,5500,98,11
1,3,750,25,4
1,17,4250,79,11
0,2,500,11,9
0,5,1250,46,4
0,12,3000,58,11
0,12,3000,86,7
